storeNumber,countryCode,ownershipTypeCode,latitude,longitude
22556-222345,BG,LS,42.657089,23.315611
54702-288424,BG,LS,42.664692,23.288345
55291-288425,BG,LS,42.66447,23.288586
1459-137880,BG,LS,42.66049,23.382437
53637-285880,BG,LS,42.624704,23.352377
1349-112145,BH,LS,26.24169,50.58798
34345-98401,BH,LS,26.23658,50.57716
51120-275065,BH,LS,26.243932,50.574414
51295-275066,BH,LS,26.244221,50.574457
51128-275064,BH,LS,26.244529,50.574478
63121-296813,BH,LS,26.228574,50.586088
26955-246149,BH,LS,26.228516,50.58614
21603-213405,BH,LS,26.228516,50.58605
23604-225764,BH,LS,26.233385,50.574907
1582-122086,BH,LS,26.24934,50.6105
17189-179925,BH,LS,26.22067,50.578768
47091-249849,BH,LS,26.219166,50.578336
52366-281710,BH,LS,26.225312,50.608512
18359-188905,BH,LS,26.216667,50.583333
21148-209545,BH,LS,26.216747,50.603428
55608-289206,BH,LS,26.215462,50.60109
66037-300486,BH,LS,26.212744,50.584297
32717-122090,BH,LS,26.23492,50.55467
61328-295599,BH,LS,26.235483,50.554526
32716-134986,BH,LS,26.23492,50.55458
15439-161444,BH,LS,26.21311,50.568327
53352-284985,BH,LS,26.232302,50.550884
34324-95973,BH,LS,26.21165,50.60773
34286-79020,BH,LS,26.2064,50.57619
57168-290181,BH,LS,26.224871,50.547042
17255-179926,BH,LS,26.20127,50.59515
47377-258065,BH,LS,26.22069,50.54566
60898-294882,BH,LS,26.27006,50.626086
58213-292361,BH,LS,26.266343,50.630387
34234-33223,BH,LS,26.22982,50.53717
34218-27369,BH,LS,26.23253,50.53644
47088-256773,BH,LS,26.214997,50.523915
54693-288436,BH,LS,26.168627,50.553161
63306-296815,BH,LS,26.218465,50.483554
34302-86720,BH,LS,26.14469,50.57902
47376-258066,BH,LS,26.137163,50.519516
61231-295597,BH,LS,26.162678,50.470059
58209-292360,BH,LS,26.158698,50.469627
54690-288437,BH,LS,26.162656,50.453172
34308-93504,SA,LS,26.2886,50.22068
56583-290459,SA,LS,26.219471,50.217619
54529-286243,SA,LS,26.317315,50.222865
62950-297509,SA,LS,26.288679,50.216117
53610-281349,SA,LS,26.220761,50.212941
26496-238333,SA,LS,26.31991,50.220566
59182-292346,SA,LS,26.310891,50.212992
59183-292347,SA,LS,26.310882,50.21296
48973-265985,SA,LS,26.334299,50.211849
49972-270484,SA,LS,26.205607,50.196507
32580-128367,SA,LS,26.30452,50.1993
54226-286159,SA,LS,26.201982,50.195237
47991-260725,SA,LS,26.19065,50.187955
31288-104391,BS,LS,25.07408,-77.31635
30656-99475,BS,LS,25.08253,-77.31924
31197-102257,BS,LS,25.06786,-77.32793
13053-153764,BS,LS,25.085204,-77.32393
18101-187804,BS,LS,25.086859,-77.322974
32202-107597,BS,LS,25.08595,-77.32776
49570-269945,BS,LS,25.077848,-77.341977
30707-155784,BS,LS,25.07846,-77.34193
56218-290137,BS,LS,25.033346,-77.353438
32120-148724,BS,LS,25.06929,-77.39309
53438-285608,BS,LS,25.070557,-77.396911
56796-290770,BS,LS,25.070852,-77.39732
20487-206084,BS,LS,25.048872,-77.465433
4641-99593,CA,CO,49.841375,-119.487573
138-23,CA,CO,49.860292,-119.490895
4866-113885,CA,CO,49.871984,-119.474837
55048-288809,CA,CO,49.883944,-119.490856
